ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615345524.832796,4485,29253.0,5290,8081.0,60,2.0
1615345524.8334599,274,50534.0,5274,1433.0,66,2.0
1615345524.9114301,2939,64833.0,5109,28435.0,66,2.0
1615345524.948689,3369,32055.0,5255,12632.0,60,2.0
1615345524.969273,1826,50481.0,5252,33892.0,60,2.0
1615345525.05487,614,51573.0,5175,45676.0,60,2.0
1615345525.060778,2780,64796.0,5147,445.0,66,2.0
1615345525.083447,1686,48292.0,5260,1433.0,60,2.0
1615345525.083447,1686,48292.0,5260,1433.0,60,2.0
1615345525.1067061,2072,18157.0,5286,23.0,60,2.0
1615345525.1179519,614,51573.0,5312,30048.0,60,2.0
1615345525.165049,614,51573.0,5284,55747.0,60,2.0
1615345525.2531052,614,51573.0,5277,55654.0,60,2.0
1615345525.333216,705,45074.0,5189,5559.0,60,2.0
1615345525.4085279,426,47394.0,5216,744.0,60,2.0
1615345525.427326,3605,37391.0,5305,631.0,60,2.0
1615345525.498553,3357,65084.0,5132,12488.0,60,2.0
1615345525.675322,2410,38929.0,5163,445.0,66,2.0
1615345525.6862369,3717,40872.0,5251,23.0,66,2.0
1615345525.775257,3504,57992.0,5267,23.0,60,2.0
1615345525.7844331,3019,52536.0,5225,23.0,60,2.0
1615345525.91102,426,47394.0,5261,612.0,60,2.0
1615345525.960157,3648,40011.0,5226,80.0,60,2.0
1615345525.995315,614,51573.0,5317,3396.0,60,2.0
1615345526.013177,3504,57992.0,5267,23.0,60,2.0
1615345526.1500769,274,56293.0,5243,1433.0,66,2.0
1615345526.30988,2640,54417.0,5254,23.0,60,2.0
1615345526.310609,3361,7504.0,5324,49152.0,60,2.0
1615345526.316094,1175,20368.0,5204,4157.0,60,2.0
1615345526.3358731,3648,40011.0,5209,80.0,60,2.0
1615345526.425932,2410,39089.0,5266,445.0,66,2.0
1615345526.456906,3011,57840.0,5326,17641.0,60,2.0
1615345526.4742131,274,56632.0,5246,1433.0,66,2.0
1615345526.540168,2977,16437.0,5181,8080.0,60,2.0
1615345526.657731,426,47394.0,5319,2261.0,60,2.0
1615345526.8621972,550,40099.0,5148,23.0,60,2.0
1615345526.9641302,1936,43070.0,5278,3303.0,60,2.0
1615345526.984824,705,45074.0,5297,5559.0,60,2.0
1615345527.1076949,3660,36378.0,5252,23.0,60,2.0
1615345527.16659,3817,43416.0,5283,9618.0,60,2.0
1615345527.1759539,426,47394.0,5340,2017.0,60,2.0
1615345527.522115,426,47394.0,5136,384.0,60,2.0
1615345527.553211,1408,33087.0,5205,10018.0,60,2.0
1615345527.650545,614,51573.0,5320,45676.0,60,2.0
1615345527.770365,1803,23320.0,5292,55443.0,60,2.0
1615345527.837118,1826,50481.0,5313,33892.0,60,2.0
1615345527.925915,1762,61827.0,5164,3493.0,60,2.0
1615345528.150366,705,45074.0,5287,5559.0,60,2.0
1615345528.1505961,705,45074.0,5324,5559.0,60,2.0
1615345528.283494,274,59032.0,5339,1433.0,66,2.0
1615345528.296497,1423,34131.0,5164,23.0,60,2.0
1615345528.552992,426,47394.0,5302,2556.0,60,2.0
1615345528.6874151,3717,40872.0,5251,23.0,66,2.0
1615345528.695293,3348,52584.0,5330,9858.0,60,2.0
1615345528.705812,4656,60695.0,5171,445.0,66,2.0
1615345528.974974,622,46642.0,5110,23.0,60,2.0
1615345529.002259,4876,49431.0,5184,1433.0,60,2.0
1615345529.11416,3323,52518.0,5338,2000.0,74,2.0
1615345529.12716,614,51573.0,5231,55654.0,60,2.0
1615345529.1451972,274,56293.0,5243,1433.0,66,2.0
1615345529.1757462,4685,59132.0,5277,443.0,60,2.0
1615345529.197472,614,51573.0,5253,45026.0,60,2.0
1615345529.1991029,614,51573.0,5214,45026.0,60,2.0
1615345529.309325,1491,8080.0,5229,1777.0,60,2.0
